sector,indicator,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,source
3,"Net lending (+) / net borrowing (-), General government, Domestic currency",Billions,,,,,,,,,,,,,,,,,,,-454,-6327,-9002,-13397,-12618,-19928.6,-1479.851,-11070.57,2703.601,-27524.434,-9175.971,-110819.695,-61671.282,-31892.769,-222519.677,-266809.974,-247675.525,-258695.274,-178429,-123612.7,-71565.986,-30577.6,-230163.19,-121534.8,64550,-177292,-176783.798,-412688.719,-323564.828,-324511.352,-337713.035,-360820.81,-389214.891,IMF
2,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",Units PPP,0.238,0.246,0.265,0.276,0.287,0.292,0.293,0.289,0.291,0.303,0.305,0.316,0.308,0.327,0.346,0.366,0.385,0.401,0.413,0.418,0.424,0.443,0.462,0.478,0.49,0.504,0.512,0.522,0.536,0.569,0.576,0.59,0.603,0.616,0.634,0.656,0.679,0.7,0.726,0.762,0.812,0.759,0.795,0.808,0.837,0.865,0.886,0.908,0.929,0.949,0.97,IMF
1,"Gross capital formation, Percent of GDP",Units,15.558,15.558,15.558,15.558,15.558,15.558,15.558,15.558,15.558,14.79,4.861,10.874,13.838,26.345,27.61,29.38,30.417,30.648,31.426,29.89,32.041,33.736,35.959,38.378,36.204,36.508,37.295,42.654,39.29,40.14,37.099,32.371,30.559,30.213,30.289,32.109,31.725,32.305,32.019,31.98,31.916,32.896,32.34,31.647,30.563,30.896,30.802,30.764,30.639,30.489,30.348,IMF
1,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units USD,652.593,318.521,414.347,612.565,1044.409,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3216.254,3439.102,3548.892,3756.885,4132.93,4316.74,4535.756,4744.725,4964.756,5261.924,5599.704,5951.69,6324.424,IMF
1,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Billions,7.254,10.184,22.028,35.266,63.028,127.562,774.16,3307.765,14160.43,35670.311,53271.203,97396.596,140344.956,178088.724,226688.618,290629.299,345410.202,398214.147,458390.101,507815.315,560767.817,611111.041,680269.011,778902.226,989542.495,1160527.335,1347892.245,1583050.889,2051931.233,2297116.94,2739843.17,3539881.31,4073762.29,4473655.6,4937031.68,5191323.73,5639401,6293904.55,7009042.13,7707200.29,8044385.73,8487475.6,9621371.82,10320311.14,11511867.2,12662074.25,13846511.23,15081351.14,16373817.22,17701211.67,19139828.59,IMF
1,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Units PPP,580.243,658.233,741.262,809.567,892.146,953.517,985.401,1012.621,1080.975,1187.17,1241.276,1333.055,1455.904,1583.18,1730.507,1903.867,2086.155,2259.592,2379.903,2491.143,2684.087,2894.591,3106.582,3368.774,3694.651,4060.464,4436.226,4835.432,5157.883,5416.516,5776.431,6281.367,6678.394,7093.364,7598.336,8116.622,8649.319,9317.097,10176.123,11108.123,11668.385,12101.363,13933.544,15052.708,16358.698,17688.249,18870.21,20159.229,21503.458,22903.789,24437.52,IMF
1,"All Items, Consumer price index (CPI), End-of-period (EoP)",Index,,,,,,,5.103,3.339,12.243,16.487,27.41,45.936,54.023,56.876,65.678,85.292,93.146,92.991,81.046,80.758,80.251,80.706,83.907,86.376,94.797,103.173,110.173,124.149,149.088,158.593,177.236,209.381,223.682,237.15,241.554,243.033,254.546,261.158,268.948,283.02,283.55,288.691,301.823,312.632,321.843,332.753,343.255,354.582,366.283,378.37,390.857,IMF
1,"Gross domestic product (GDP), Price deflator, Index",Index,0.002,0.002,0.005,0.007,0.012,0.024,0.138,0.576,2.348,5.487,7.8,13.479,17.868,20.978,24.536,28.717,31.214,33.274,36.214,38.291,39.596,40.368,41.965,44.763,52.759,57.533,62.463,68.479,84.005,89.227,100,121.414,132.435,137.784,142.879,140.427,142.982,149.22,154.631,158.379,160.703,165.332,172.678,176.292,183.625,189.721,196.476,202.343,208.034,213.579,219.314,IMF
1,"Population, Persons for countries / Index for country groups",Millions,54.18,55.31,56.4,57.47,58.57,59.71,60.92,62.3,63.5,64.774,67.513,68.766,70.002,71.223,72.43,73.627,74.815,75.991,77.167,78.333,79.395,80.469,81.534,82.302,83.063,83.833,84.618,85.42,86.243,87.092,87.968,87.86,88.809,89.76,90.729,91.713,92.695,93.672,94.666,96.484,97.583,98.506,99.462,100.309,101.3,102.161,102.937,103.615,104.243,104.862,105.43,IMF
1,"Gross domestic product (GDP), Constant prices, Percent change",Units,-3.497,5.797,8.15,7.093,8.397,5.619,3.357,2.549,5.1,7.8,5.047,5.809,8.7,8.078,8.834,9.54,9.34,8.152,5.765,4.774,6.787,6.895,7.08,7.341,7.789,7.547,6.978,7.129,5.662,5.398,6.423,6.413,5.505,5.554,6.422,6.987,6.69,6.94,7.465,7.359,2.865,2.554,8.538,5.065,7.091,6.457,5.595,5.76,5.6,5.3,5.3,IMF
